no,kode_pos,kode_wilayah,prov_code,kab_code,kec_code,desa_code,full_code,is_kelurahan,is_desa,desa,kecamatan,dt2,kabupaten,provinsi,source_page
1106,86373,53.08.08.2024,53,08,08,2024,5308082024,0,1,Lise Pu'u,Wolowaru,Kabupaten,Ende,Nusa Tenggara Timur (NTT),5
1116,86373,53.08.08.2023,53,08,08,2023,5308082023,0,1,Tana Lo'o,Wolowaru,Kabupaten,Ende,Nusa Tenggara Timur (NTT),5
2768,91912,73.73.02.1009,73,73,02,1009,7373021009,1,0,Pattene (Patte'ne),Wara Utara,Kota,Palopo,Sulawesi Selatan,13
3140,91953,73.17.16.2006,73,17,16,2006,7317162006,0,1,Buntu Awo' (Buntu Awo),Walenrang Utara,Kabupaten,Luwu,Sulawesi Selatan,15
3847,22861,12.04.27.2011,12,04,27,2011,1204272011,0,1,Sifaro'asi Ulu Gawo (Sifaoroasi Ulugawo),Ulugawo,Kabupaten,Nias,Sumatera Utara,19
3848,22861,12.04.27.2014,12,04,27,2014,1204272014,0,1,Sisarahili Soroma'asi,Ulugawo,Kabupaten,Nias,Sumatera Utara,19
3956,22862,12.25.08.2001,12,25,08,2001,1225082001,0,1,Bukit Tinggi,Ulu Moro'o (Ulu Narwo),Kabupaten,Nias Barat,Sumatera Utara,19
3957,22862,12.25.08.2005,12,25,08,2005,1225082005,0,1,Hilibadalu,Ulu Moro'o (Ulu Narwo),Kabupaten,Nias Barat,Sumatera Utara,19
3958,22862,12.25.08.2004,12,25,08,2004,1225082004,0,1,Hilisangawola,Ulu Moro'o (Ulu Narwo),Kabupaten,Nias Barat,Sumatera Utara,19
3959,22862,12.25.08.2002,12,25,08,2002,1225082002,0,1,Lawelu,Ulu Moro'o (Ulu Narwo),Kabupaten,Nias Barat,Sumatera Utara,19
3960,22862,12.25.08.2003,12,25,08,2003,1225082003,0,1,Saloo,Ulu Moro'o (Ulu Narwo),Kabupaten,Nias Barat,Sumatera Utara,19
3975,22877,12.14.34.2007,12,14,34,2007,1214342007,0,1,Hilialo'oa,Ulu Idanotae,Kabupaten,Nias Selatan,Sumatera Utara,19
3691,22873,12.14.14.2003,12,14,14,2003,1214142003,0,1,Sifaoro'asi Mola (Sifaoroasi Mola),Umbunasi,Kabupaten,Nias Selatan,Sumatera Utara,18
3788,22867,12.14.19.2009,12,14,19,2009,1214192009,0,1,Loloana'a,Ulunoyo,Kabupaten,Nias Selatan,Sumatera Utara,18
4430,92313,73.04.08.2002,73,04,08,2002,7304082002,0,1,Bonto Mate'ne (Bontomatene),Turatea,Kabupaten,Jeneponto,Sulawesi Selatan,22
4794,22852,12.24.03.2004,12,24,03,2004,1224032004,0,1,Alo'oa (Alooa),Tuhemberua,Kabupaten,Nias Utara,Sumatera Utara,23
4798,22852,12.24.03.2003,12,24,03,2003,1224032003,0,1,La'aya (Laaya),Tuhemberua,Kabupaten,Nias Utara,Sumatera Utara,23
5630,94478,72.08.05.2029,72,08,05,2029,7208052029,0,1,Ta'aniuge,Tomini,Kabupaten,Parigi Moutong,Sulawesi Tengah,28
5684,92170,73.06.10.2002,73,06,10,2002,7306102002,0,1,Ta'binjai,Tombolopao (Tombolo Pao),Kabupaten,Gowa,Sulawesi Selatan,28
5749,22865,12.14.12.2005,12,14,12,2005,1214122005,0,1,Hili'alawa (Hilialawa),Toma,Kabupaten,Nias Selatan,Sumatera Utara,28
5908,94686,72.09.02.2016,72,09,02,2016,7209022016,0,1,Titiri'i,Togean,Kabupaten,Tojo Una Una,Sulawesi Tengah,29
5412,91857,73.26.16.2001,73,26,16,2001,7326162001,0,1,Tondon Langi' (Tondon Langi),Tondon,Kabupaten,Toraja Utara,Sulawesi Selatan,27
4842,22860,12.24.08.2007,12,24,08,2007,1224082007,0,1,Botona'ai,Tugala Oyo,Kabupaten,Nias Utara,Sumatera Utara,24
4849,22860,12.24.08.2001,12,24,08,2001,1224082001,0,1,Te'olo,Tugala Oyo,Kabupaten,Nias Utara,Sumatera Utara,24
6094,69371,35.28.01.2017,35,28,01,2017,3528012017,0,1,Taro'an,Tlanakan,Kabupaten,Pamekasan,Jawa Timur,30
7874,72270,63.10.12.2007,63,10,12,2007,6310122007,0,1,Hati'if (Hati If),Teluk Kepayang,Kabupaten,Tanah Bumbu,Kalimantan Selatan,39
7928,22865,12.14.06.2042,12,14,06,2042,1214062042,0,1,Hiliana'a,Teluk Dalam,Kabupaten,Nias Selatan,Sumatera Utara,39
7930,22865,12.14.06.2043,12,14,06,2043,1214062043,0,1,Hiliganowo Salo'o,Teluk Dalam,Kabupaten,Nias Selatan,Sumatera Utara,39
7933,22865,12.14.06.2025,12,14,06,2025,1214062025,0,1,Hilisao'otoniha,Teluk Dalam,Kabupaten,Nias Selatan,Sumatera Utara,39
8508,71667,63.11.08.2004,63,11,08,2004,6311082004,0,1,Ju'uh (Ju Uh),Tebing Tinggi,Kabupaten,Balangan,Kalimantan Selatan,42
8784,85771,53.04.02.2006,53,04,02,2006,5304022006,0,1,Fatuba'a,Tasifeto Timur,Kabupaten,Belu,Nusa Tenggara Timur (NTT),43
6616,91833,73.26.09.2006,73,26,09,2006,7326092006,0,1,Benteng Ka'do To'rea,Tikala,Kabupaten,Toraja Utara,Sulawesi Selatan,33
9153,91551,76.02.02.2010,76,02,02,2010,7602022010,0,1,Taan (Taang / Ta'an),Tapalang,Kabupaten,Mamuju,Sulawesi Barat,45
11059,90221,73.71.10.1008,73,71,10,1008,7371101008,1,0,Pa'baeng-Baeng (Pa Baeng-Baeng),Tamalate,Kota,Makassar,Sulawesi Selatan,55
11170,90211,73.71.07.1008,73,71,07,1008,7371071008,1,0,La'latang (La Latang),Tallo,Kota,Makassar,Sulawesi Selatan,55
11790,91372,76.03.05.2013,76,03,05,2013,7603052013,0,1,Peu' (Peu),Tabulahan,Kabupaten,Mamasa,Sulawesi Barat,58
