prov_code,kab_code,kec_code,full_code,nama_kecamatan
11,01,01,110101,Bakongan
11,01,02,110102,Kluet Utara
11,01,03,110103,Kluet Selatan
11,01,04,110104,Labuhan Haji
11,01,05,110105,Meukek
11,01,06,110106,Samadua (Sama Dua)
11,01,07,110107,Sawang
11,01,08,110108,Tapaktuan (Tapak Tuan)
11,01,09,110109,Trumon
11,01,10,110110,Pasi Raja (Pasie Raja)
11,01,11,110111,Labuhan Haji Timur
11,01,12,110112,Labuhan Haji Barat
11,01,13,110113,Kluet Tengah
11,01,14,110114,Kluet Timur
11,01,15,110115,Bakongan Timur
11,01,16,110116,Trumon Timur
11,01,17,110117,Kota Bahagia
11,01,18,110118,Trumon Tengah
11,02,01,110201,Lawe Alas
11,02,02,110202,Lawe Sigala Gala
11,02,03,110203,Bambel
11,02,04,110204,Babussalam
11,02,05,110205,Badar
11,02,06,110206,Babul Makmur
11,02,07,110207,Darul Hasanah
11,02,08,110208,Lawe Bulan
11,02,09,110209,Bukit Tusam
11,02,10,110210,Semadam
11,02,11,110211,Babul Rahmah
11,02,12,110212,Ketambe
11,02,13,110213,Deleng Pokhkisen (Deleng Pokhisen)
11,02,14,110214,Lawe Sumur
11,02,15,110215,Tanoh Alas (Tanah Alas)
11,02,16,110216,Leuser
11,03,01,110301,Darul Aman
11,03,02,110302,Julok
11,03,03,110303,Idi Rayeuk
11,03,04,110304,Birem Bayeun
11,03,05,110305,Serbajadi
11,03,06,110306,Nurussalam
11,03,07,110307,Peureulak
11,03,08,110308,Rantau Selamat
11,03,09,110309,Simpang Ulim
11,03,10,110310,Rantau Peureulak (Ranto Peureulak)
11,03,11,110311,Pante Bidari
11,03,12,110312,Madat
11,03,13,110313,Indra Makmu (Indra Makmur)
11,03,14,110314,Idi Tunong
11,03,15,110315,Banda Alam
11,03,16,110316,Peudawa
11,03,17,110317,Peureulak Timur
11,03,18,110318,Peureulak Barat
11,03,19,110319,Sungai Raya
11,03,20,110320,Simpang Jernih
11,03,21,110321,Darul Ihsan (Iksan)
11,03,22,110322,Darul Falah
11,03,23,110323,Idi Timur
11,03,24,110324,Peunaron
11,04,01,110401,Linge
11,04,02,110402,Silih Nara
11,04,03,110403,Bebesen
11,04,07,110407,Pegasing
11,04,08,110408,Bintang
11,04,10,110410,Ketol
