prov_code,kab_code,full_code,tipe,nama_kab_kota
11,01,1101,Kabupaten,Aceh Selatan
11,02,1102,Kabupaten,Aceh Tenggara
11,03,1103,Kabupaten,Aceh Timur
11,04,1104,Kabupaten,Aceh Tengah
11,05,1105,Kabupaten,Aceh Barat
11,06,1106,Kabupaten,Aceh Besar
11,07,1107,Kabupaten,Pidie
11,08,1108,Kabupaten,Aceh Utara
11,09,1109,Kabupaten,Simeulue
11,10,1110,Kabupaten,Aceh Singkil
11,11,1111,Kabupaten,Bireuen
11,12,1112,Kabupaten,Aceh Barat Daya
11,13,1113,Kabupaten,Gayo Lues
11,14,1114,Kabupaten,Aceh Jaya
11,15,1115,Kabupaten,Nagan Raya
11,16,1116,Kabupaten,Aceh Tamiang
11,17,1117,Kabupaten,Bener Meriah
11,18,1118,Kabupaten,Pidie Jaya
11,71,1171,Kota,Banda Aceh
11,72,1172,Kota,Sabang
11,73,1173,Kota,Lhokseumawe
11,74,1174,Kota,Langsa
11,75,1175,Kota,Subulussalam
12,01,1201,Kabupaten,Tapanuli Tengah
12,02,1202,Kabupaten,Tapanuli Utara
12,03,1203,Kabupaten,Tapanuli Selatan
12,04,1204,Kabupaten,Nias
12,05,1205,Kabupaten,Langkat
12,06,1206,Kabupaten,Karo
12,07,1207,Kabupaten,Deli Serdang
12,08,1208,Kabupaten,Simalungun
12,09,1209,Kabupaten,Asahan
12,10,1210,Kabupaten,Labuhanbatu
12,11,1211,Kabupaten,Dairi
12,12,1212,Kabupaten,Toba
12,13,1213,Kabupaten,Mandailing Natal
12,14,1214,Kabupaten,Nias Selatan
12,15,1215,Kabupaten,Pakpak Bharat
12,16,1216,Kabupaten,Humbang Hasundutan
12,17,1217,Kabupaten,Samosir
12,18,1218,Kabupaten,Serdang Bedagai
12,19,1219,Kabupaten,Batu Bara
12,20,1220,Kabupaten,Padang Lawas Utara
12,21,1221,Kabupaten,Padang Lawas
12,22,1222,Kabupaten,Labuhanbatu Selatan
12,23,1223,Kabupaten,Labuhanbatu Utara
12,24,1224,Kabupaten,Nias Utara
12,25,1225,Kabupaten,Nias Barat
12,71,1271,Kota,Medan
12,72,1272,Kota,Pematangsiantar
12,73,1273,Kota,Sibolga
12,74,1274,Kota,Tanjung Balai
12,75,1275,Kota,Binjai
12,76,1276,Kota,Tebing Tinggi
12,77,1277,Kota,Padangsidimpuan
12,78,1278,Kota,Gunungsitoli
13,01,1301,Kabupaten,Pesisir Selatan
13,02,1302,Kabupaten,Solok
13,03,1303,Kabupaten,Sijunjung
13,04,1304,Kabupaten,Tanah Datar
13,05,1305,Kabupaten,Padang Pariaman
13,06,1306,Kabupaten,Agam
13,07,1307,Kabupaten,Lima Puluh Kota
13,08,1308,Kabupaten,Pasaman
13,09,1309,Kabupaten,Kepulauan Mentawai
13,10,1310,Kabupaten,Dharmasraya
13,11,1311,Kabupaten,Solok Selatan
13,12,1312,Kabupaten,Pasaman Barat
13,71,1371,Kota,Padang
13,72,1372,Kota,Solok
13,73,1373,Kota,Sawahlunto
13,74,1374,Kota,Padang Panjang
13,75,1375,Kota,Bukittinggi
13,76,1376,Kota,Payakumbuh
13,77,1377,Kota,Pariaman
14,01,1401,Kabupaten,Kampar
14,02,1402,Kabupaten,Indragiri Hulu
14,03,1403,Kabupaten,Bengkalis
14,04,1404,Kabupaten,Indragiri Hilir
14,05,1405,Kabupaten,Pelalawan
14,06,1406,Kabupaten,Rokan Hulu
14,07,1407,Kabupaten,Rokan Hilir
14,08,1408,Kabupaten,Siak
14,09,1409,Kabupaten,Kuantan Singingi
14,10,1410,Kabupaten,Kepulauan Meranti
14,71,1471,Kota,Pekanbaru
14,72,1472,Kota,Dumai
15,01,1501,Kabupaten,Kerinci
15,02,1502,Kabupaten,Merangin
15,03,1503,Kabupaten,Sarolangun
15,04,1504,Kabupaten,Batanghari
15,05,1505,Kabupaten,Muaro Jambi
15,06,1506,Kabupaten,Tanjung Jabung Barat
15,07,1507,Kabupaten,Tanjung Jabung Timur
15,08,1508,Kabupaten,Bungo
15,09,1509,Kabupaten,Tebo
15,71,1571,Kota,Jambi
15,72,1572,Kota,Sungai Penuh
16,01,1601,Kabupaten,Ogan Komering Ulu
16,02,1602,Kabupaten,Ogan Komering Ilir
16,03,1603,Kabupaten,Muara Enim
16,04,1604,Kabupaten,Lahat
16,05,1605,Kabupaten,Musi Rawas
16,06,1606,Kabupaten,Musi Banyuasin
16,07,1607,Kabupaten,Banyuasin
16,08,1608,Kabupaten,Ogan Komering Ulu Timur
16,09,1609,Kabupaten,Ogan Komering Ulu Selatan
16,10,1610,Kabupaten,Ogan Ilir
16,11,1611,Kabupaten,Empat Lawang
16,12,1612,Kabupaten,Penukal Abab Lematang Ilir
16,13,1613,Kabupaten,Musi Rawas Utara
16,71,1671,Kota,Palembang
16,72,1672,Kota,Pagar Alam
16,73,1673,Kota,Lubuk Linggau
16,74,1674,Kota,Prabumulih
17,01,1701,Kabupaten,Bengkulu Selatan
17,02,1702,Kabupaten,Rejang Lebong
17,03,1703,Kabupaten,Bengkulu Utara
17,04,1704,Kabupaten,Kaur
17,05,1705,Kabupaten,Seluma
17,06,1706,Kabupaten,Muko Muko
17,07,1707,Kabupaten,Lebong
17,08,1708,Kabupaten,Kepahiang
17,09,1709,Kabupaten,Bengkulu Tengah
17,71,1771,Kota,Bengkulu
18,01,1801,Kabupaten,Lampung Selatan
18,02,1802,Kabupaten,Lampung Tengah
18,03,1803,Kabupaten,Lampung Utara
18,04,1804,Kabupaten,Lampung Barat
18,05,1805,Kabupaten,Tulang Bawang
18,06,1806,Kabupaten,Tanggamus
18,07,1807,Kabupaten,Lampung Timur
18,08,1808,Kabupaten,Way Kanan
18,09,1809,Kabupaten,Pesawaran
18,10,1810,Kabupaten,Pringsewu
